NAME	B cell	T cell	ciliated columnar cell of tracheobronchial tree	classical monocyte	leukocyte	lung endothelial cell	myeloid cell	natural killer cell	stromal cell
Abcd2	1	1	1	75.5277147525318	1	1	1	1	1
Abcf2	1	1	1	1	1	79.581603553928	1	95.9681760986099	88.1770281896057
Abcg3	1	1	1	1	1	1	28.487933965979	1	1
Abhd10	1	1	1	1	1	302.824148273445	1	1	1
Abhd11	1	45.540400027999	53.4646011770497	1	1	1	1	1	1
Abhd12	1	194.626751102135	1	61.2459830384736	1	1	154.479828060825	1	56.2467350811833
Abhd14b	1	1	198.724399518691	1	1	1	1	1	156.73056555923
Abhd3	1	1	214.38348838707	1	1	1	1	1	1
Abhd8	1	98.9867921032602	1	1	1	1	1	1	1
Abi3	1	1	1	189.633115254777	1	130.230802524131	51.3820341077755	1	1
Abi3bp	1	1	1	1	1	265.89162811843	1	1	338.598525145234
Ablim1	346.669880235838	428.936365515731	1	1	1	115.548685171103	1	453.239631727219	174.202152108131
Abtb1	241.346915056931	1	1	147.810887654558	791.238858031785	420.569594645941	55.6902629817948	101.37522291214	1
Abtb2	1	1	1	1	292.16626172241	1	1	1	1
Acap1	110.694743260793	165.958465892042	1	1	1	1	1	405.09060890897	1
Acat2	1	1	1	1	1	1	49.4908302179494	1	1
Ace	1	1	1	1	1	864.057995706547	1	1	1
Acer2	1	1	1	1	1	330.77215736577	1	1	1
Acer3	1	1	77.6761055556082	205.681651086497	1	72.3953271668756	83.974784645006	1	1
Acot1	1	1	859.481186545666	1	1	1	1	1	1
Acot7	1	1	49.6574331362089	61.2708249412702	221.12192331679	68.0844147089138	378.204483321748	393.924459284895	1
Acox2	1	1	207.995542456506	1	1	1	1	1	1
Acox3	1	1	1	62.9750194960104	1	1	1	1	1
Acp5	540.7044309707	336.409190852775	1	1	1	1	1	120.204491941981	1
Acsl1	1	1	34.4097243458653	1	40.0633417273734	1	1	1	1
Acsl3	1	1	133.538126786548	1	1	1	1	1	1
Acss1	1	1	1	1	1	1	42.4415131888467	1	1
Acta2	1	1	1	1	202.290643542294	1	1	1	161.205168114687
Actr1b	1	108.368950978868	101.591775842438	1	1	1	24.4237047375106	1	1
Acvrl1	1	92.8434219073607	1	85.5407122523285	1	2785.72051238546	308.366328684958	1	229.789194202675
Acyp1	1	85.0164682247663	40.3558201944785	1	1	1	1	1	1
Adam15	1	1	1	211.239726252188	1	179.915765756666	32.701894125355	1	41.3436510652392
Adam17	1	132.379021530746	1	168.857795121836	1	1	133.49109067531	1	77.2436714173778
Adam19	1	1	1	1	171.194940767106	1	1	1	1
Adam23	1	1	1	1	1	1	32.9223840093409	1	1
Adam28	1	1	189.633674184684	1	1	1	1	1	1
Adam8	1	1	76.16201154925	1	879.985356282353	1	110.036741693931	1	1
Adamts1	1	1	1	1	1	159.872870257561	1	1	452.350603472425
Adamts10	1	1	1	1	1	1	1	1	168.336543574534
Adamts14	1	1	1	1	1	1	1	112.964533703942	1
Adamts15	1	1	1	1	1	1	1	1	93.8507376506114
Adamts2	1	1	1	1	1	1	1	1	506.951017347561
Adamts8	1	1	1	1	1	1	1	1	221.727870404048
Adamtsl2	1	1	1	1	1	1	1	1	176.049623815321
Adamtsl5	1	1	1	1	1	114.044967305087	1	1	107.578665179049
Adap1	1	1	1	42.448201424819	1	1	1	1	1
Adap2	1	1	1	1	1	1	1	1	108.274854476396
Adc	1	1	231.786168771417	1	1	1	1	1	1
Adck1	1	1	1	1	1	1	72.3379025195084	1	1
Adck2	1	1	1	1	1	1	1	58.0240820036988	35.5014285634826
Adck3	1	1	1	1	1	1	114.146743621806	1	1
Adck4	1	1	307.149976540576	1	1	1	1	1	1
Adcy4	1	1	1	1	1	593.502279062641	1	1	1
Adcy7	1	218.51177163277	1	36.8145611706127	1	1	58.0954397779034	71.7310109870156	1
Adh1	1	1	1	1	1	1	1	1	1424.71791811644
Adh7	1	1	1	1	1	1	1	1	253.513456174671
Adm	1	1	1	1	1	1	1	1	836.897105072321
Adora2a	1	36.8741775004866	1	1	1	1	1	38.7731247098262	1
Adora2b	1	1	1	72.0603824186733	1	1	1	1	1
Adpgk	1	1	1	75.7030501634655	1	1	1	1	52.5057457306761
Adra1a	1	1	1	1	1	1	1	1	149.091313007521
Adra2b	1	1	1	1	1	44.2748550614598	1	1	1
Adrb1	1	1	89.5737334187268	1	1	162.496735462434	1	1	1
Adrbk1	174.744018886677	70.6534178255833	26.8609546778347	89.763684256416	582.832310159678	1	104.078116718424	133.486582643155	1
Adrbk2	1	1	33.9347385472672	26.1993170222581	1	1	130.50516154143	1	1
Adssl1	1	1	1	326.441492654075	123.297580504636	1	74.8174193478738	1	1
Aebp1	1	1	124.555855862503	1	1	1	1	1	503.357822329265
Aebp2	1	1	1	1	1	1	38.598452044594	1	1
Afap1	1	45.2957632349671	1	1	1	1	1	1	297.715541099917
Afap1l1	1	1	1	1	1	679.019108631079	1	1	1
Afg3l1	1	35.454707411749	1	1	1	1	1	1	41.9309603280849
Aga	1	53.2319659410766	71.765426786948	1	1	107.682609110409	1	1	22.6835161748472
Agpat2	156.045699472343	1	1	1	1	1	1	1	1
Agpat3	1	81.9621302496193	112.987740786827	1	1	89.7692590305599	77.7432858078898	449.848473610685	35.0920686885792
Agpat4	1	1	1	61.0188715143993	1	435.646316985844	73.980758551307	1	117.085491198403
Agr3	1	1	191.844354520099	1	1	1	1	1	1
Ahcyl2	1	1	1	1	1	1	32.1472023402578	1	1
Aif1	1	1	1	141.626117059408	1	1	116.480512335547	1	1
Aifm1	1	1	1	88.9885978319561	1	1	1	1	1
Aig1	1	1	394.88002664176	1	1	1	1	1	39.56353678141
Aim1	1	68.296628379342	1	1	1	1	1	99.576263651303	1
Aimp2	1	1	1	1	1	142.39203042679	105.731362221448	1	1
Ak1	1	1	250.899423182408	1	1	1	1	1	1
Ak7	1	1	512.567854274928	1	1	1	1	1	1
Ak8	1	1	217.605670216987	1	1	1	1	1	1
Akap11	1	1	1	1	1	105.55605192657	1	1	24.5264501717132
Akap12	1	1	1	1	1	167.811895321658	1	1	426.874930820701
Akap14	1	1	156.203133167924	1	1	1	1	1	1
Akap2	1	1	110.189901524999	1	1	412.401233531725	1	1	185.949412283566
Akap8	1	52.630865320577	37.8516616486623	1	285.297490392473	1	1	72.1053974435021	1
Akna	109.235046522965	30.9020182257915	30.7712276965609	1	245.320096008885	1	75.2618227581977	56.0383086723581	1
Akr1c13	1	169.637917804545	1	1	1	1	1	41.2341917518458	1
Aktip	1	1	133.364884656615	1	1	1	87.1266023973257	1	1
Alad	1	1	1	1	1	1	1	218.707562575263	37.2194122058289
Alcam	1	1	500.073425240564	1	1	1	137.110015945601	1	229.621764745682
Aldh1a1	1	1	1520.37871429056	1	1	1	1	1	2105.21863684799
Aldh3b1	1	1	3130.01969596439	258.469130977506	216.130416880485	1	75.1162544502915	1	1
Aldoc	1	1	1	1	1	1	47.2497143155441	1	1
Alg11	1	38.2796478613486	1	1	1	1	1	1	48.3165028631463
Alg12	1	1	1	70.4391438171268	1	1	1	1	1
Alg9	1	1	1	1	1	1	1	169.572820000971	1
Alkbh3	1	1	1	1	1	1	82.2720448459181	1	1
Alox5	1	1	1	1	582.929458224724	1	1	1	1
Alox5ap	1	1	1	1828.99747275378	2452.12409654747	1	1182.64212929605	1	1
Als2cl	1	47.5239950152561	1	1	1	79.3221296868141	1	1	1
Alyref2	1	1	1	1	1	1	1	60.7748286037059	1
Ambra1	1	1	1	33.3078557042813	1	1	1	1	1
Amica1	1	1	1	1	156.264204585611	1	216.556052404049	1	1
Amotl1	1	1	1	1	1	406.625663594883	1	1	222.491391962433
Amz1	1	1	1	165.77509212067	1	1	52.4435307303524	1	1
Anapc2	1	1	187.595763258097	1	1	149.941064576764	140.001497982762	254.349604511707	112.992970819895
Angel2	358.997225453727	1	29.1678229022081	83.5443725665938	1	288.371775644137	11.4017112464251	73.1353972926725	54.398422671313
Angpt1	1	1	1	1	1	1	1	1	210.891654416734
