,lung endothelial cell,stromal cell,classical monocyte,myeloid cell,B cell,T cell,natural killer cell,leukocyte,ciliated columnar cell of tracheobronchial tree
0,0.11080067312186244,0.14425360835239318,0.13784946305603957,0.0584778713120628,0.09077867865599189,0.08754126992748863,0.1588131480096902,0.12688652439935708,0.08459876316511424
1,0.1100490589601753,0.12807168443433856,0.03820735788244102,0.10639390642029654,0.09507995009431605,0.18705032990601902,0.14537887783676978,0.07248071533232255,0.11728811913332118
2,0.11369607403301009,0.1051327488997253,0.1454712223366473,0.143801645963486,0.11530193458511184,0.18548872967730687,0.0312937016353753,0.0732757149205697,0.08653822794876762
3,0.13216406783804546,0.058883337175006746,0.06493864827303719,0.10414431155005349,0.15639131517807314,0.20091058428899092,0.05335860457114994,0.13548937044259768,0.09371976068304548
4,0.12148404322232428,0.08843183619383936,0.13572891977268337,0.07472225068236604,0.12552411378130307,0.14590102901595947,0.1713340184693769,0.044374054661558276,0.09249973420058925
5,0.0881288231474097,0.150633919999728,0.0400209515098647,0.18164891542945374,0.059694535566973475,0.10053720469254984,0.10331688150130602,0.15320453013223365,0.12281423802048089
6,0.14902749260980955,0.09386529176030045,0.089121343097927,0.07502841689419691,0.25257269830102175,0.21116323975989326,0.01261710524914451,0.05423927687056476,0.06236513545714181
7,0.10621647788737994,0.18914124834651688,0.07394565386289306,0.1680931791381608,0.14483010083987613,0.0587488529116067,0.09592213970025149,0.10783476703239314,0.05526758028092186
8,0.10806633876616388,0.10025774089400034,0.07998175600508614,0.054996606003635935,0.1717287691767983,0.16622564557838168,0.035615585504039086,0.1771679101735238,0.10595964789837084
9,0.15958881650535206,0.10483601403306918,0.17007858239745247,0.07228227120635412,0.07306317293942254,0.1227238895114427,0.1349269345083651,0.1551420322838579,0.0073582866146839655
10,0.0842017532476228,0.10909205030491434,0.15343973585710632,0.08415499573698917,0.11879357438546381,0.12739411520753902,0.10469990846407619,0.10939933888060484,0.1088245279156835
11,0.08607635939359085,0.17779757095050414,0.07218014447108391,0.07942884643069865,0.20986895416258594,0.05693679405443659,0.04537937170030487,0.09928375401937307,0.17304820481742197
12,0.1182334101377188,0.10512753544902435,0.13069429632086724,0.09173096129038323,0.1691191426890019,0.11127241760868975,0.09166130378763591,0.07671729699038712,0.10544363572629165
13,0.12448305923409712,0.12361495426475075,0.11825935398680183,0.15038278604169794,0.10094550438366887,0.12247108236376389,0.15921332066173502,0.038295129790591326,0.06233480927289322
