,B cell,T cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,leukocyte,lung endothelial cell,myeloid cell,natural killer cell,stromal cell
67,0.057731494,0.13137203,0.12108293,0.17269245,0.07298156,0.06262192,0.14441958,0.13045074,0.10664733
68,0.05047699,0.07674625,0.12521088,0.20406067,0.040034357,0.10430854,0.105883524,0.114888586,0.17839022
69,0.052326698,0.06333835,0.17799386,0.19271526,0.05508444,0.0840196,0.11182375,0.11552626,0.1471718
70,0.071172245,0.09365306,0.12593734,0.18255456,0.0849681,0.05859614,0.1283495,0.13612951,0.11863951
71,0.061667357,0.08314961,0.08879934,0.14513597,0.093169436,0.0753151,0.20466477,0.09630408,0.15179436
72,0.05876607,0.059629235,0.10320335,0.23760866,0.063697815,0.0634432,0.16410178,0.1557253,0.09382461
73,0.065762684,0.07763484,0.07407661,0.36909962,0.06906783,0.066606395,0.09381577,0.08606899,0.097867265
74,0.049114328,0.13509622,0.17366527,0.14700387,0.047870632,0.06920266,0.111125834,0.15103762,0.1158836
75,0.06983316,0.07589415,0.10169967,0.27334148,0.06956353,0.05846322,0.1085861,0.10036383,0.14225495
76,0.062448204,0.07586192,0.1451803,0.17872536,0.11511778,0.04644667,0.08263047,0.10428727,0.18930207
77,0.054696742,0.08788044,0.104953624,0.21536462,0.06883191,0.09196077,0.2013256,0.07906982,0.09591643
78,0.05649599,0.09987843,0.15279852,0.15205686,0.04681939,0.05413455,0.12632164,0.1008861,0.21060851
79,0.04961171,0.0943694,0.1099356,0.15117362,0.0642973,0.0623437,0.11591556,0.1985387,0.15381442
80,0.06456347,0.14140046,0.11625061,0.2272647,0.065614365,0.070393026,0.11517144,0.13749637,0.061845604
81,0.059704166,0.06982361,0.1669401,0.21101181,0.07465929,0.08087907,0.12670381,0.11307682,0.09720128
82,0.051693924,0.07318986,0.26458544,0.15739691,0.055248085,0.05015058,0.10791027,0.11242302,0.12740192
83,0.041443683,0.13125986,0.12657993,0.16808325,0.04937755,0.052607875,0.11746046,0.20412199,0.10906545
84,0.05488722,0.07303096,0.19935824,0.17962739,0.058331452,0.044848196,0.13968611,0.13832566,0.11190485
85,0.04062319,0.08196083,0.19264928,0.114096425,0.0682297,0.04482867,0.15671107,0.17544484,0.12545602
86,0.049574908,0.07927622,0.14612095,0.23444934,0.053800542,0.08335747,0.098070204,0.17493138,0.08041896
87,0.068955384,0.06859286,0.09023632,0.21986438,0.06314626,0.09446471,0.12024445,0.1448762,0.12961951
88,0.045501344,0.0648311,0.23106295,0.1764276,0.058843516,0.07778327,0.09710752,0.06757752,0.1808652
89,0.054257836,0.07031806,0.091823705,0.17296931,0.05923755,0.09856765,0.21221654,0.09859639,0.14201295
90,0.062607884,0.080258,0.13604492,0.2465255,0.053403936,0.08479695,0.11007763,0.07364553,0.15263963
91,0.08283223,0.07540661,0.13275748,0.23395418,0.06450182,0.05735242,0.13760595,0.13548262,0.080106646
92,0.06363174,0.144078,0.12181651,0.1661098,0.08827176,0.05617279,0.10720044,0.09952179,0.1531971
93,0.064953014,0.075643085,0.12101415,0.23620407,0.08036854,0.06186847,0.11627203,0.15139423,0.09228239
94,0.06281658,0.096412584,0.20254964,0.12557764,0.06689319,0.0646135,0.19705692,0.114189625,0.06989038
95,0.06715158,0.08339842,0.111967474,0.18177167,0.06627099,0.06260437,0.10486632,0.16852944,0.15343972
96,0.05054832,0.069104195,0.08101473,0.28935403,0.08221904,0.05920595,0.087025575,0.17378701,0.10774115
97,0.07744766,0.09526015,0.13382338,0.22531328,0.062608615,0.065196075,0.16441634,0.09850381,0.07743075
98,0.05429628,0.063046016,0.16553429,0.18822922,0.060929425,0.082289875,0.09683041,0.14913653,0.13970804
99,0.0462125,0.07568851,0.111633055,0.23948088,0.043181054,0.07179869,0.10324325,0.15333833,0.15542373
